name,domain,industry,size range,locality,country,linkedin url
magruders grocery,magrudersofdc.com,wine and spirits,1 - 10,"falls church, virginia, united states",united states,linkedin.com/company/magruders-grocery
harley street health and beauty ltd,,retail,1 - 10,"london, greater london, united kingdom",united kingdom,linkedin.com/company/harley-street-health-and-beauty-ltd
luxe by design australia,luxebydesign.com.au,luxury goods & jewelry,11 - 50,"geebung, queensland, australia",australia,linkedin.com/company/luxe-by-design-australia
park mediclaim tpa pvt ltd,parkmediclaim.com,hospital & health care,11 - 50,"new delhi, delhi, india",india,linkedin.com/company/park-mediclaim-tpa-pvt-ltd
fennec industrial design llc,fennecid.com,consumer electronics,1 - 10,"venice, california, united states",united states,linkedin.com/company/fennec-industrial-design-llc
grupo aba s.a.s.,somosgrupoaba.com,management consulting,1 - 10,"washington, district of columbia, united states",colombia,linkedin.com/company/grupo-aba-s.a.s.
canam pipe & supply,canamservices.com,oil & energy,11 - 50,"calgary, alberta, canada",canada,linkedin.com/company/canam-pipe-&-supply
market keys,market-keys.fr,management consulting,1 - 10,,,linkedin.com/company/market-keys
the gentlemen plumbers inc.,thegentlemenplumbers.com,construction,1 - 10,"calgary, alberta, canada",canada,linkedin.com/company/the-gentlemen-plumbers-inc-
north end services ltd,,professional training & coaching,1 - 10,,united kingdom,linkedin.com/company/north-end-services-limited
"southwest risk advisors, inc.",swriskadvisors.com,security and investigations,1 - 10,"chandler, arizona, united states",united states,linkedin.com/company/southwest-risk-advisors-inc-
mash marketing,mash-marketing.com,marketing and advertising,11 - 50,"edinburgh, edinburgh, united kingdom",united kingdom,linkedin.com/company/mash-marketing
indiana spine group,indianaspinegroup.com,hospital & health care,11 - 50,"carmel, indiana, united states",united states,linkedin.com/company/indiana-spine-group
enver energy improvements,enverenergy.com,renewables & environment,1 - 10,"anaheim, california, united states",united states,linkedin.com/company/enverenergyimprovements
"airborne security patrol, inc",airbornesecuritypatrol.com,security and investigations,1 - 10,"sacramento, california, united states",united states,linkedin.com/company/airborne-security-patrol-inc
jb one design & tecnologia,,information technology and services,1 - 10,,,linkedin.com/company/jb-one-design-tecnologia
"qwerty concepts, inc.",qwertyc.com,information technology and services,51 - 200,"piscataway, new jersey, united states",united states,linkedin.com/company/qwerty-concepts-inc.
merewyn partners pty ltd,merewyn.com.au,information technology and services,1 - 10,"sydney, new south wales, australia",australia,linkedin.com/company/merewyn-partners-pty-ltd
quintessential consulting solutions,quintessentialconsultingsolutions.com,management consulting,1 - 10,"london, greater london, united kingdom",united kingdom,linkedin.com/company/quintessential-consulting-solutions
"everydayrates.com, inc",everydayrates.com,consumer services,1 - 10,,,linkedin.com/company/txenergyrates
brightech valves and controls pvt ltd,,business supplies and equipment,1 - 10,"ahmadabad, gujarat, india",india,linkedin.com/company/brightech-valves-and-controls-pvt-ltd
prosper vr,prospervr.com,entertainment,1 - 10,"marina del rey, california, united states",united states,linkedin.com/company/prosper-vr
ebba,,food production,1 - 10,,belgium,linkedin.com/company/ebba
ostello bello,ostellobello.com,hospitality,51 - 200,"milano, lombardy, italy",italy,linkedin.com/company/ostello-bello
chumba media llc,,marketing and advertising,1 - 10,"denver, colorado, united states",united states,linkedin.com/company/chumba-media
almondy ab,almondy.com,food & beverages,51 - 200,"torslanda, vaestra goetaland, sweden",sweden,linkedin.com/company/almondy-ab
ksmo peru sac,ksmo.com.pe,medical practice,1 - 10,"lima, lima region, peru",peru,linkedin.com/company/ksmo-peru-s.a.c.
regal decorating & paint center inc.,regalpaint.com,construction,1 - 10,,,linkedin.com/company/regal-decorating-&-paint-center-inc-
"rolled steel products, inc.",go-rsp.com,maritime,1 - 10,"spokane, washington, united states",united states,linkedin.com/company/rolled-steel-products-inc-
"rjb investments, llc",rjbinvestments.net,real estate,1 - 10,"la grange, illinois, united states",united states,linkedin.com/company/rjb-investments-llc
firebird international raceway,firebirdraceway.com,marketing and advertising,1 - 10,,,linkedin.com/company/firebird-international-raceway
gibdock ltd;,gibdock.com,shipbuilding,51 - 200,,gibraltar,linkedin.com/company/gibdock-ltd-
rainbow room international limited,rainbowroominternational.com,consumer services,11 - 50,"glasgow, glasgow city, united kingdom",united kingdom,linkedin.com/company/rainbow-room-international-limited
studio 1989,,design,1 - 10,"perugia, umbria, italy",italy,linkedin.com/company/studio-1989
copyright protocol,,financial services,1 - 10,,,linkedin.com/company/copyright-protocol
cabinet fabienne aumont,,professional training & coaching,1 - 10,,,linkedin.com/company/cabinet-fabienne-aumont
smile inside out consulting,smileinsideout.com,professional training & coaching,1 - 10,"port alberni, british columbia, canada",canada,linkedin.com/company/smile-inside-out-consulting
eb_insight | research & consultancy,,publishing,1 - 10,"sandiacre, derbyshire, united kingdom",united kingdom,linkedin.com/company/ebinsight
landelijke huurdersraad vestia,huurdersraadvestia.nl,public policy,1 - 10,"zoetermeer, south holland, netherlands",netherlands,linkedin.com/company/landelijke-huurdersraad-vestia
vorsevi,vorsevi.es,civil engineering,51 - 200,"sevilla, andalucia, spain",spain,linkedin.com/company/vorsevi-s-a-
audentia research pvt. ltd.,audentiaresearch.com,research,11 - 50,"thane, maharashtra, india",india,linkedin.com/company/audentia-research-pvt.-ltd.
bodylogic health management inc.,backlogic.com,management consulting,1 - 10,"west vancouver, british columbia, canada",canada,linkedin.com/company/bodylogic-health-management-inc-
connecting media brasil,connectingmedia.com.br,online media,1 - 10,"santos, sao paulo, brazil",brazil,linkedin.com/company/connecting-media-brasil
time events switzerland,,events services,1 - 10,,,linkedin.com/company/time-events-switzerland
"bancfirst insurance services, inc",bfins.com,insurance,11 - 50,"oklahoma city, oklahoma, united states",united states,linkedin.com/company/bancfirst-insurance-services-inc
anna.k. strategisch sponsoradvies,anna-k.nl,museums and institutions,1 - 10,,,linkedin.com/company/anna.k.
logisnet.com,logisnet.com,logistics and supply chain,1 - 10,"sabadell, catalonia, spain",spain,linkedin.com/company/logisnet-com
greenwoods resorts,greenwoods.in,hospitality,51 - 200,,,linkedin.com/company/greenwoods-resorts
arrco medical advertising,,marketing and advertising,1 - 10,"walpole, massachusetts, united states",united states,linkedin.com/company/arrco-medical-advertising
team wob-racing u.a.s. ostfalia,wob-racing.de,automotive,1 - 10,"wolfsburg, niedersachsen, germany",germany,linkedin.com/company/team-wob-racing-u.a.s.-ostfalia
